NAME	DESCRIPTION	WT_Ctrl_rep_1	WT_Ctrl_rep_2	WT_Ctrl_rep_3	WT_Rap_rep_1	WT_Rap_rep_2	WT_Rap_rep_3	AP2_F_Ctrl_rep_1	AP2_F_Ctrl_rep_2	AP2_F_Ctrl_rep_3	AP2_F_Rap_rep_1	AP2_F_Rap_rep_2	AP2_F_Rap_rep_3
cgd8_1680-RA	na	6.541066345	5.520066618	5.469128481	6.513152812	6.233796691	5.462014094	6.043390343	5.31112632	6.139503522	6.006425873	6.262874267	5.521092207
cgd8_170-RA	na	4.278151787	5.056554028	4.560125758	4.242063963	4.142445442	4.489792337	4.42092872	4.577797821	3.010884513	3.719397979	5.151897008	3.677302643
cgd8_1700-RA	na	4.648067155	3.010884513	4.846340699	5.062038298	4.489304987	3.932083313	4.922546094	4.577797821	4.648976093	4.833197758	4.721855065	4.476275426
cgd8_1720-RA	na	9.990768357	9.725508583	10.34099862	9.98159237	9.822797909	9.82736933	10.09335229	9.64220824	9.542941549	8.962180176	8.56684329	8.952792345
cgd8_1730-RA	na	4.278151787	3.844513052	4.846340699	4.242063963	4.768724174	4.89100757	4.629976465	3.010884513	3.779961752	3.719397979	3.010884513	3.010884513
cgd8_1740-RA	na	5.395253729	4.369463144	4.560125758	5.345099518	5.679753584	4.489792337	5.449144043	4.99056321	3.010884513	5.886899387	4.952840553	5.791462568
cgd8_1750-RA	na	5.395253729	5.056554028	5.469128481	5.962834376	4.489304987	5.462014094	5.33440203	3.997368832	4.943216998	6.489327223	6.262874267	5.18808976
cgd8_1760-RA	na	6.017229167	5.306845616	5.90271311	5.686780226	5.927411123	4.89100757	5.589185442	5.31112632	5.187493604	5.275335925	4.952840553	4.754403979
cgd8_1770-RA	na	7.522435102	7.067749039	7.440549954	7.535111814	7.498706506	7.712614829	7.442510288	7.155172666	7.228463114	7.465451477	7.229822706	7.085770565
cgd8_1780-RA	na	3.010884513	3.010884513	3.010884513	5.210499987	3.684873515	4.489792337	4.693429679	4.577797821	3.010884513	3.719397979	5.151897008	4.754403979
cgd8_1790-RA	na	3.010884513	3.010884513	3.010884513	3.010884513	3.010884513	3.010884513	4.343925749	3.997368832	3.010884513	3.719397979	4.106407252	4.754403979
